Entity,GHG emissions per kilogram
Apples,0.43
Bananas,0.86
Barley,1.18
Beef (beef herd),99.48
Beef (dairy herd),33.3
Beet Sugar,1.81
Berries & Grapes,1.53
Brassicas,0.51
Cane Sugar,3.2
Cassava,1.32
Cheese,23.88
Citrus Fruit,0.39
Coffee,28.53
Dark Chocolate,46.65
Eggs,4.67
Fish (farmed),13.63
Groundnuts,3.23
Lamb & Mutton,39.72
Maize,1.7
Milk,3.15
Nuts,0.43
Oatmeal,2.48
Onions & Leeks,0.5
Other Fruit,1.05
Other Pulses,1.79
Other Vegetables,0.53
Peas,0.98
Pig Meat,12.31
Potatoes,0.46
Poultry Meat,9.87
Prawns (farmed),26.87
Rice,4.45
Root Vegetables,0.43
Soy milk,0.98
Tofu,3.16
Tomatoes,2.09
Wheat & Rye,1.57
Wine,1.79
Dairy Products,2.9333333333333336
Species,9.3703
Oils,3.83668
Sauces,0.0
Cereals,1.4785
Fruits,0.6825000000000001
Beef,66.39
Fruits,0.6825000000000001
Beverages,0.0
Legumes,1.6042
Sweets,1.58195
